"","msoa","la","pred_leave","voters","population"
"1","E02000001","E09000001",0.247101614003183,4399,6683
"2","E02000002","E09000002",0.633046425947142,2739.28137783605,4842
"3","E02000003","E09000002",0.562627965326426,4344.40657949327,7540
"4","E02000004","E09000002",0.695752255270353,2771.09537060988,4780
"5","E02000005","E09000002",0.680817198717824,3441.10006965465,6100
"6","E02000007","E09000002",0.678235861851996,3401.83347080183,6125
"7","E02000008","E09000002",0.704588542031541,4638.173716547,8297
"8","E02000009","E09000002",0.650223071460451,3387.77210498909,6072
"9","E02000010","E09000002",0.71253548766806,3354.30045792846,6003
"10","E02000011","E09000002",0.66252345132544,2616.0295116099,4606
"11","E02000012","E09000002",0.48465189218983,4247.08960845901,7251
"12","E02000013","E09000002",0.698919071184022,3253.53971627092,5809
"13","E02000014","E09000002",0.722688708586415,3712.26075202338,6677
"14","E02000015","E09000002",0.678213160203786,2957.27092998702,5382
"15","E02000016","E09000002",0.46541892974383,2866.96237945308,5460
"16","E02000017","E09000002",0.463515079328959,3582.51101512677,6437
"17","E02000018","E09000002",0.681609541256218,3404.57154529876,6143
"18","E02000019","E09000002",0.650674256442525,3224.55052978191,5763
"19","E02000020","E09000002",0.550306252898777,3657.39733345052,6591
"20","E02000021","E09000002",0.632294636878325,3083.02555978646,5609
"21","E02000022","E09000002",0.508386027761786,2927.49281996099,5632
"22","E02000023","E09000002",0.576060954682311,2340.3231695886,4295
"23","E02000024","E09000003",0.380449822726728,4917.51327573957,7976
"24","E02000025","E09000003",0.403585217939228,3847.27005021599,6345
"25","E02000026","E09000003",0.423422208950761,2993.32609623282,4903
"26","E02000027","E09000003",0.485960190284685,4262.53074197906,7135
"27","E02000028","E09000003",0.392244050565046,2964.19871251732,4850
"28","E02000029","E09000003",0.434874879925027,3918.9407281909,6473
"29","E02000030","E09000003",0.412412736559862,4342.80506742676,7055
"30","E02000031","E09000003",0.37273732990811,3483.57510775142,5741
"31","E02000032","E09000003",0.333195387448302,3671.08262856148,6023
"32","E02000033","E09000003",0.467215040263836,3903.89034952506,6517
"33","E02000034","E09000003",0.393169214578369,3967.99667588705,6606
"34","E02000035","E09000003",0.352866333845435,3825.19546904445,6437
"35","E02000036","E09000003",0.402805161971206,4750.350174078,7985
"36","E02000037","E09000003",0.374768515831684,4272.89789272208,7081
"37","E02000038","E09000003",0.3501240754459,4909.26983490297,8229
"38","E02000039","E09000003",0.345047270454367,3043.27442797535,5004
"39","E02000040","E09000003",0.381377588934129,3142.38236796655,5253
"40","E02000041","E09000003",0.409123537270011,3902.57695877498,6653
"41","E02000042","E09000003",0.331950248475528,5035.58220078235,8600
"42","E02000043","E09000003",0.291872814749124,3528.11108586432,5818
"43","E02000044","E09000003",0.453243217034683,3405.15133370867,5863
"44","E02000045","E09000003",0.403003848417587,4589.04908002109,7812
"45","E02000046","E09000003",0.305101986327194,3386.13873357011,5788
"46","E02000047","E09000003",0.475435682040451,4685.61025481335,8366
"47","E02000048","E09000003",0.362746535885612,4483.97349816246,7459
"48","E02000049","E09000003",0.407754707253864,3205.39548068485,5758
"49","E02000050","E09000003",0.359458660776483,4565.11124684903,7737
"50","E02000051","E09000003",0.320274858181129,4109.68808306779,6928
"51","E02000052","E09000003",0.280403910972832,4660.37497438192,7850
"52","E02000053","E09000003",0.379622013774359,3860.83013965199,6978
"53","E02000054","E09000003",0.334542089371178,3288.86705922764,5744
"54","E02000055","E09000003",0.351614068061769,5026.42402708142,8913
"55","E02000056","E09000003",0.309023442171522,4267.61081212938,6984
"56","E02000057","E09000003",0.394818103116426,3107.80509646611,5431
"57","E02000058","E09000003",0.320383815355363,4629.14812443371,7801
"58","E02000059","E09000003",0.421792201763889,4587.98887685864,8203
"59","E02000060","E09000003",0.409098018564187,4330.6292364874,7516
"60","E02000061","E09000003",0.307086781737057,3759.56869112506,6510
"61","E02000062","E09000003",0.411132212983049,2668.0709933098,4794
"62","E02000063","E09000003",0.396317705320851,2962.25856041739,5293
"63","E02000064","E09000003",0.368661601057447,2770.53585141369,4904
"64","E02000065","E09000004",0.443851139403182,3549.13605067746,5188
"65","E02000066","E09000004",0.511511360759656,4752.74556909681,6951
"66","E02000067","E09000004",0.576789894277287,4544.85731221891,6421
"67","E02000068","E09000004",0.556863480075813,3760.2224910222,5367
"68","E02000069","E09000004",0.565419791670867,3435.79906564974,4757
"69","E02000070","E09000004",0.627634448944197,4518.20947152807,6209
"70","E02000071","E09000004",0.640005909058554,4006.16278409462,5522
"71","E02000072","E09000004",0.624331422497088,5618.78666509508,8077
"72","E02000073","E09000004",0.653933386358472,5994.33682750748,8176
"73","E02000074","E09000004",0.712269349446177,4112.52918798571,5767
"74","E02000075","E09000004",0.685118671609455,4704.47762996061,6406
"75","E02000077","E09000004",0.692720535969004,4333.92805095609,5975
"76","E02000078","E09000004",0.696624304099817,4407.90952108869,6011
"77","E02000079","E09000004",0.602248700223715,4570.60565112652,6243
"78","E02000080","E09000004",0.671446325417186,5334.04065057061,7371
"79","E02000081","E09000004",0.685381189475613,4313.02422915976,5921
"80","E02000082","E09000004",0.655494299037149,5033.90885603277,6910
"81","E02000083","E09000004",0.631710589033625,5271.73720365528,7299
"82","E02000084","E09000004",0.593317032867922,6196.7879343727,8428
"83","E02000085","E09000004",0.68376649497315,4393.94090132165,6050
"84","E02000086","E09000004",0.656193754234807,4172.08358078368,5699
"85","E02000087","E09000004",0.603382031101461,4488.45599680059,6052
"86","E02000088","E09000004",0.645322668066821,4470.97772424206,6099
"87","E02000089","E09000004",0.666687340537565,4471.88069389756,6074
"88","E02000090","E09000004",0.58048548039019,5286.39460117253,7242
"89","E02000091","E09000004",0.606880968346954,5725.18364945392,7840
"90","E02000092","E09000004",0.663659079003813,3445.41454441458,4819
"91","E02000093","E09000005",0.402263763046487,4479.7450877917,8506
"92","E02000094","E09000005",0.434950425465776,3410.0483341672,6602
"93","E02000095","E09000005",0.409248675766231,4106.17965262678,7879
"94","E02000096","E09000005",0.299233645516176,3379.62783136479,6149
"95","E02000097","E09000005",0.433724762135179,3551.45908079902,6876
"96","E02000098","E09000005",0.368655735619716,3245.14573155715,6202
"97","E02000099","E09000005",0.413968498468326,3397.36912767659,6557
"98","E02000100","E09000005",0.280217210640533,3749.59988621082,6925
"99","E02000101","E09000005",0.395754634860838,3578.93423919222,7042
"100","E02000102","E09000005",0.437176197151115,2725.37741117137,5545
"101","E02000103","E09000005",0.404228024085498,3204.26262165853,6409
"102","E02000104","E09000005",0.378562228498359,2798.45683848239,5375
"103","E02000105","E09000005",0.443528687005833,3632.86191202037,7066
"104","E02000106","E09000005",0.441649662292407,3686.02368083577,7626
"105","E02000107","E09000005",0.394530023484238,4266.19450332997,8665
"106","E02000108","E09000005",0.472071080016908,2580.54432815557,5067
"107","E02000109","E09000005",0.413231182041316,3685.58139588998,7388
"108","E02000110","E09000005",0.361205082098559,3341.44245715416,6603
"109","E02000111","E09000005",0.506717884667346,3849.65507843858,7687
"110","E02000112","E09000005",0.473562428288735,3701.31681721393,7556
"111","E02000113","E09000005",0.441273039838351,3186.03051427365,6541
"112","E02000114","E09000005",0.378013766066832,3597.31973115052,7309
"113","E02000115","E09000005",0.310201438672677,3573.3084396326,7082
"114","E02000116","E09000005",0.45449320730315,2910.24801697952,6159
"115","E02000117","E09000005",0.436998764867888,4207.61772644687,8856
"116","E02000118","E09000005",0.521749174248086,3615.1913056679,7261
"117","E02000119","E09000005",0.375530442372156,2408.64295832253,4977
"118","E02000120","E09000005",0.316345709153575,3915.2476494426,7806
"119","E02000121","E09000005",0.515157628047522,3558.70871352442,7171
"120","E02000122","E09000005",0.31628001886273,3347.18840911647,6372
"121","E02000123","E09000005",0.435411821180009,5144.3252374317,10882
"122","E02000124","E09000005",0.327340712649564,4293.23396470113,8291
"123","E02000125","E09000005",0.339153664131349,4502.07799553767,8687
"124","E02000126","E09000005",0.376470907830562,2775.03332203552,5732
"125","E02000127","E09000006",0.600739223721838,4668.16557473126,6369
"126","E02000128","E09000006",0.556302030060084,4312.44833973199,5671
"127","E02000130","E09000006",0.393834059924404,4642.62821212197,6207
"128","E02000131","E09000006",0.379773272659773,5233.39838048457,7176
"129","E02000132","E09000006",0.390720308179785,5471.88427511365,7297
"130","E02000133","E09000006",0.387660805104336,5967.79563725343,7702
"131","E02000134","E09000006",0.461948245409861,6483.15039527532,8668
"132","E02000135","E09000006",0.48105334429697,5172.28663068567,7239
"133","E02000136","E09000006",0.537348689908544,3330.78287524394,4398
"134","E02000137","E09000006",0.413040186538513,4898.79147185256,6411
"135","E02000138","E09000006",0.386653714086974,5172.42582333556,6755
"136","E02000139","E09000006",0.410678379351132,4357.33218878414,5734
"137","E02000140","E09000006",0.627131880075688,4174.80315712636,5714
"138","E02000141","E09000006",0.422655421853672,4020.4391690724,5346
"139","E02000142","E09000006",0.445776739456889,4875.7301734083,6387
"140","E02000144","E09000006",0.414931184744188,5191.26596462706,6867
"141","E02000145","E09000006",0.595616630393384,4246.20322507065,5770
"142","E02000146","E09000006",0.492257411045135,4889.80704112216,6448
"143","E02000147","E09000006",0.444445175403615,4771.94517949717,6164
